League,PlayerName,Stat,PropLine,Type
NFL,Isiah Pacheco,Rush+Rec Yds,28.5,standard
NFL,Isiah Pacheco,Rush Yards,21.5,standard
NFL,Isiah Pacheco,Longest Reception,4.5,standard
NFL,Dallas Goedert,Fantasy Score,11.5,standard
NFL,Hollywood Brown,Rush+Rec TDs,0.5,demon
NFL,Isiah Pacheco,Fantasy Score,5.5,standard
NFL,JuJu Smith-Schuster,Receiving Yards,15.5,standard
NFL,Samaje Perine,Longest Reception,7.5,standard
NFL,DeAndre Hopkins,Fantasy Score,4.0,standard
NFL,Isiah Pacheco,Rush+Rec TDs,0.5,demon
NFL,Jake Elliott,FG Made,2.5,demon
NFL,Noah Gray,Fantasy Score,3.0,standard
NFL,Jalen Carter,Sacks,0.25,demon
NFL,Kareem Hunt,Longest Reception,6.5,standard
NFL,Kareem Hunt,Rush+Rec Yds,56.5,standard
NFL,Kareem Hunt,Rush Attempts,11.5,standard
NFL,Noah Gray,Rush+Rec TDs,0.5,demon
NFL,Dallas Goedert,Receptions,5.0,standard
NFL,Dallas Goedert,Longest Reception,18.5,standard
NFL,Saquon Barkley,Receptions,2.0,standard
NFL,Patrick Mahomes,Rush+Rec TDs,0.5,demon
NFL,Jalen Hurts,INT,0.5,demon
NFL,Noah Gray,Longest Reception,9.5,standard
NFL,Saquon Barkley,Receiving Yards,14.5,standard
NFL,Jalen Hurts,Pass TDs,0.5,goblin
NFL,A.J. Brown,Receiving Yards,39.5,goblin
NFL,Travis Kelce,Longest Reception,19.5,standard
NFL,Travis Kelce,Receptions,6.0,standard
NFL,A.J. Brown,Receiving Yards,49.5,goblin
NFL,Jalen Hurts,Pass TDs,1.5,demon
NFL,A.J. Brown,Receiving Yards,59.5,goblin
NFL,Josh Sweat,Sacks,0.25,demon
NFL,JuJu Smith-Schuster,Rush+Rec TDs,0.5,demon
NFL,A.J. Brown,Receiving Yards,79.5,demon
NFL,A.J. Brown,Receiving Yards,89.5,demon
NFL,Mike Danna,Sacks,0.25,demon
NFL,Nick Bolton,Sacks,0.25,demon
NFL,A.J. Brown,Receiving Yards,99.5,demon
NFL,A.J. Brown,Receiving Yards,109.5,demon
NFL,Isiah Pacheco,Rush Yards,29.5,demon
NFL,Isiah Pacheco,Rush Yards,39.5,demon
NFL,Isiah Pacheco,Rush+Rec Yds,39.5,demon
NFL,Patrick Mahomes,Pass TDs,1.5,goblin
NFL,Isiah Pacheco,Rush+Rec Yds,49.5,demon
NFL,Dallas Goedert,Receiving Yards,24.5,goblin
NFL,Patrick Mahomes,Pass TDs,2.5,demon
NFL,Jalen Hurts,Pass Yards,174.5,goblin
NFL,Dallas Goedert,Receiving Yards,39.5,goblin
NFL,Hollywood Brown,Receiving Yards,41.5,standard
