,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.in_game,attributes.is_live,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_display_name,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data.type,relationships.duration.data.id,relationships.game.data.type,relationships.game.data.id,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.score.data,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.trending_count,relationships.stat_average.data.type,relationships.stat_average.data.id,attributes.discount_name,attributes.discount_percentage,type_new_player,id_new_player,attributes.name,attributes.combo,attributes.display_name,attributes.image_url,attributes.league,attributes.league_id,attributes.position,attributes.team,relationships.league.data.type_new_player,relationships.league.data.id_new_player,relationships.team_data.data.type,relationships.team_data.data.id
10,projection,3748235,False,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,115.5,standard,Single Stat,0,True,2025-02-09T18:30:00-05:00,Rush Yards,Rush Yards,pre_game,,2025-01-31T16:14:00-05:00,duration,11,game,45705,league,9,new_player,206302,projection_type,2,,stat_type,15,117782.0,stat_average,35076,,,new_player,206302,Saquon Barkley,False,Saquon Barkley,https://static.prizepicks.com/images/teams/nfl/PHI/26.webp,NFL,9.0,RB,PHI,league,9,team,1188
11,projection,3748251,False,2025-01-12T09:22:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,61.5,standard,Single Stat,0,True,2025-02-09T18:30:00-05:00,Receiving Yards,Receiving Yards,pre_game,,2025-02-02T22:00:52-05:00,duration,11,game,45705,league,9,new_player,211191,projection_type,2,,stat_type,17,61201.0,stat_average,50620,,,new_player,211191,Travis Kelce,False,Travis Kelce,https://static.prizepicks.com/images/teams/nfl/KC/87.webp,NFL,9.0,TE,KC,league,9,team,16506
12,projection,3748242,False,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,70.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Receiving Yards,Receiving Yards,pre_game,,2025-02-02T18:24:14-05:00,duration,11,game,45705,league,9,new_player,206304,projection_type,2,,stat_type,17,28975.0,stat_average,35079,,,new_player,206304,A.J. Brown,False,A.J. Brown,https://static.prizepicks.com/images/teams/nfl/PHI/11.webp,NFL,9.0,WR,PHI,league,9,team,1188
13,projection,3789372,,2025-01-26T18:30:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,0.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Pass Deflections,Pass Deflections,pre_game,,2025-01-31T12:22:26-05:00,duration,11,game,45705,league,9,new_player,226702,projection_type,2,,stat_type,352,,,,,,new_player,226702,Trent McDuffie,False,Trent McDuffie,https://static.prizepicks.com/images/teams/nfl/KC/22.webp,NFL,9.0,CB,KC,league,9,team,1131
14,projection,3748257,False,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,27.0,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Pass Attempts,Pass Attempts,pre_game,,2025-01-27T14:20:46-05:00,duration,11,game,45705,league,9,new_player,206300,projection_type,2,,stat_type,26,,stat_average,49762,,,new_player,206300,Jalen Hurts,False,Jalen Hurts,https://static.prizepicks.com/images/teams/nfl/PHI/1.webp,NFL,9.0,QB,PHI,league,9,team,1188
15,projection,3748337,,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,255.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Pass+Rush Yds,Pass+Rush Yds,pre_game,,2025-01-27T10:44:41-05:00,duration,11,game,45705,league,9,new_player,206300,projection_type,2,,stat_type,260,,stat_average,47533,,,new_player,206300,Jalen Hurts,False,Jalen Hurts,https://static.prizepicks.com/images/teams/nfl/PHI/1.webp,NFL,9.0,QB,PHI,league,9,team,1188
16,projection,3748846,,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,25.0,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Longest Rush,Longest Rush,pre_game,,2025-01-30T16:47:23-05:00,duration,11,game,45705,league,9,new_player,206302,projection_type,2,,stat_type,788,,stat_average,53781,,,new_player,206302,Saquon Barkley,False,Saquon Barkley,https://static.prizepicks.com/images/teams/nfl/PHI/26.webp,NFL,9.0,RB,PHI,league,9,team,1188
17,projection,3748241,False,2025-01-19T09:14:00-05:00,,KC,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,212.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Pass Yards,Pass Yards,pre_game,,2025-01-31T12:30:01-05:00,duration,11,game,45705,league,9,new_player,206300,projection_type,2,,stat_type,16,38502.0,stat_average,35074,,,new_player,206300,Jalen Hurts,False,Jalen Hurts,https://static.prizepicks.com/images/teams/nfl/PHI/1.webp,NFL,9.0,QB,PHI,league,9,team,1188
18,projection,3748239,False,2025-01-12T09:22:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,45.5,standard,Single Stat,1,True,2025-02-09T18:30:00-05:00,Rush Yards,Rush Yards,pre_game,,2025-02-02T18:27:48-05:00,duration,11,game,45705,league,9,new_player,214661,projection_type,2,,stat_type,15,33849.0,stat_average,64455,,,new_player,214661,Kareem Hunt,False,Kareem Hunt,https://static.prizepicks.com/images/teams/nfl/KC/29.webp,NFL,9.0,RB,KC,league,9,team,1131
19,projection,3751457,True,2025-01-12T09:22:00-05:00,,PHI,,,NFL_game_9Vtulb2nghSvUHBh7XHJnetZ,False,False,False,0.5,demon,Single Stat,1,True,2025-02-09T18:30:00-05:00,Rush+Rec TDs,Rush+Rec TDs,pre_game,,2025-02-01T14:39:38-05:00,duration,11,game,45705,league,9,new_player,211191,projection_type,2,,stat_type,313,22493.0,stat_average,56649,,,new_player,211191,Travis Kelce,False,Travis Kelce,https://static.prizepicks.com/images/teams/nfl/KC/87.webp,NFL,9.0,TE,KC,league,9,team,16506
