gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,GAME_ID
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,1641733,Nick,Smith Jr.,N. Smith Jr.,nick-smith-jr,G,,,38:54,109.8,111.0,125.4,121.4,-15.6,-10.5,0.095,1.0,9.5,0.026,0.061,0.046,9.5,0.688,0.711,0.216,0.216,101.33,102.42,85.35,82.0,0.097,0022400700
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,203995,Vasilije,Micić,V. Micić,vasilije-micić,G,,,28:30,107.8,106.6,129.2,127.4,-21.3,-20.9,0.278,0.0,25.0,0.0,0.088,0.048,0.0,0.393,0.437,0.231,0.237,102.27,103.58,86.32,61.0,0.07,0022400700
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,1642354,KJ,Simpson,K. Simpson,kj-simpson,,,,24:12,105.8,110.2,115.4,111.5,-9.6,-1.3,0.063,1.0,7.7,0.037,0.094,0.068,7.7,0.3,0.398,0.214,0.21,100.48,100.17,83.47,49.0,0.027,0022400700
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,203552,Seth,Curry,S. Curry,seth-curry,,,,8:59,112.5,121.1,106.0,110.0,6.6,11.1,0.222,2.0,50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.083,0.082,110.07,104.19,86.83,19.0,0.0,0022400700
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,1631217,Moussa,Diabaté,M. Diabaté,moussa-diabaté,,,,16:23,97.8,100.0,122.0,124.3,-24.1,-24.3,0.083,1.0,16.7,0.111,0.333,0.212,16.7,0.5,0.665,0.132,0.132,106.23,104.06,86.72,34.0,0.113,0022400700
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,1629610,DaQuan,Jeffries,D. Jeffries,daquan-jeffries,,,,11:52,59.8,61.5,149.6,151.9,-89.8,-90.3,0.25,0.0,20.0,0.0,0.077,0.036,0.0,0.25,0.25,0.148,0.149,109.54,107.19,89.33,26.0,-0.021,0022400700
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,1631209,Isaiah,Wong,I. Wong,isaiah-wong,,,,5:29,74.5,78.6,158.2,153.8,-83.7,-75.3,0.5,0.5,20.0,0.0,0.0,0.0,40.0,0.75,0.75,0.267,0.271,119.93,118.18,98.48,14.0,0.0,0022400700
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,201959,Taj,Gibson,T. Gibson,taj-gibson,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022400700
0022400700,1610612766,Charlotte,Hornets,CHA,hornets,1629684,Grant,Williams,G. Williams,grant-williams,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022400700
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1642258,Zaccharie,Risacher,Z. Risacher,zaccharie-risacher,F,,,25:40,120.5,123.7,122.5,118.6,-1.9,5.1,0.111,0.0,15.4,0.0,0.125,0.065,0.0,0.667,0.73,0.18,0.179,110.08,110.34,91.95,59.0,0.125,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1629631,De'Andre,Hunter,D. Hunter,deandre-hunter,F,,,30:44,121.4,122.1,129.9,127.9,-8.4,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.672,0.208,0.21,105.7,106.2,88.5,68.0,0.056,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1630168,Onyeka,Okongwu,O. Okongwu,onyeka-okongwu,C,,,28:08,116.4,115.6,135.9,133.3,-19.5,-17.7,0.053,1.0,11.1,0.043,0.318,0.178,11.1,0.714,0.761,0.119,0.122,106.94,108.34,90.28,64.0,0.101,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1630700,Dyson,Daniels,D. Daniels,dyson-daniels,G,,,36:25,118.3,117.5,130.4,128.8,-12.1,-11.3,0.28,1.75,26.9,0.031,0.156,0.094,15.4,0.65,0.66,0.226,0.23,104.42,105.45,87.87,80.0,0.115,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1629027,Trae,Young,T. Young,trae-young,G,,,34:56,117.6,116.5,135.7,133.8,-18.1,-17.3,0.45,1.8,25.0,0.0,0.0,0.0,13.9,0.688,0.767,0.325,0.328,105.84,107.16,89.3,79.0,0.132,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1630811,Keaton,Wallace,K. Wallace,keaton-wallace,,,,13:04,138.1,142.9,97.0,93.1,41.1,49.8,0.308,4.0,50.0,0.0,0.0,0.0,12.5,0.0,0.347,0.129,0.134,104.38,104.75,87.29,28.0,0.0,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1626204,Larry,Nance Jr.,L. Nance Jr.,larry-nance-jr,,,,19:52,133.0,138.1,109.7,107.0,23.3,31.1,0.154,0.0,20.0,0.091,0.4,0.238,0.0,0.75,0.75,0.174,0.172,103.31,102.68,85.57,42.0,0.217,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1630249,Vít,Krejčí,V. Krejčí,vít-krejčí,,,,28:18,127.4,128.3,129.3,124.2,-1.9,4.1,0.111,2.0,16.7,0.0,0.154,0.073,8.3,0.722,0.722,0.154,0.155,101.77,103.46,86.22,60.0,0.096,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1629726,Garrison,Mathews,G. Mathews,garrison-mathews,,,,11:35,137.1,146.2,109.2,103.8,27.9,42.3,0.0,0.0,0.0,0.0,0.4,0.174,0.0,0.0,0.237,0.207,0.202,108.65,107.74,89.78,26.0,0.0,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1631230,Dominick,Barlow,D. Barlow,dominick-barlow,,,,11:18,124.2,124.0,109.6,104.0,14.6,20.0,0.0,0.0,0.0,0.071,0.091,0.08,0.0,0.0,0.0,0.036,0.037,103.39,106.19,88.5,25.0,0.0,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1631243,Mouhamed,Gueye,M. Gueye,mouhamed-gueye,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022400701
0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1631223,David,Roddy,D. Roddy,david-roddy,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022400701
0022400701,1610612765,Detroit,Pistons,DET,pistons,1641709,Ausar,Thompson,A. Thompson,ausar-thompson,F,,,25:25,130.1,131.5,123.4,123.2,6.7,8.3,0.211,1.33,25.0,0.0,0.182,0.103,18.8,0.667,0.752,0.207,0.205,104.32,103.87,86.56,54.0,0.099,0022400701
0022400701,1610612765,Detroit,Pistons,DET,pistons,202699,Tobias,Harris,T. Harris,tobias-harris,F,,,35:14,133.6,132.1,116.4,116.7,17.2,15.4,0.069,0.0,11.1,0.0,0.133,0.067,0.0,0.615,0.684,0.184,0.186,105.8,106.26,88.55,78.0,0.109,0022400701
0022400701,1610612765,Detroit,Pistons,DET,pistons,1631105,Jalen,Duren,J. Duren,jalen-duren,C,,,28:39,133.8,129.2,117.4,118.5,16.3,10.8,0.045,0.5,7.1,0.125,0.261,0.191,14.3,0.8,0.827,0.181,0.186,107.53,108.9,90.75,65.0,0.136,0022400701
