'',gameId_advanced,teamId_advanced,teamCity_advanced,teamName_advanced,teamTricode_advanced,teamSlug_advanced,personId,firstName_advanced,familyName_advanced,nameI_advanced,playerSlug_advanced,position_advanced,comment_advanced,jerseyNum_advanced,minutes_advanced,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,gameId_traditional,teamId_traditional,teamCity_traditional,teamName_traditional,teamTricode_traditional,teamSlug_traditional,firstName_traditional,familyName_traditional,nameI_traditional,playerSlug_traditional,position_traditional,comment_traditional,jerseyNum_traditional,minutes_traditional,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,GAME_ID
10,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1631243,Mouhamed,Gueye,M. Gueye,mouhamed-gueye,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,Mouhamed,Gueye,M. Gueye,mouhamed-gueye,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022400701
11,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,1631223,David,Roddy,D. Roddy,david-roddy,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022400701,1610612737,Atlanta,Hawks,ATL,hawks,David,Roddy,D. Roddy,david-roddy,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022400701
12,0022400701,1610612765,Detroit,Pistons,DET,pistons,1641709,Ausar,Thompson,A. Thompson,ausar-thompson,F,,,25:25,130.1,131.5,123.4,123.2,6.7,8.3,0.211,1.33,25.0,0.0,0.182,0.103,18.8,0.667,0.752,0.207,0.205,104.32,103.87,86.56,54.0,0.099,0022400701,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,F,,,25:25,4,6,0.667,0,0,0.0,5,6,0.833,0,4,4,4,3,0,3,5,13,2.0,0022400701
13,0022400701,1610612765,Detroit,Pistons,DET,pistons,202699,Tobias,Harris,T. Harris,tobias-harris,F,,,35:14,133.6,132.1,116.4,116.7,17.2,15.4,0.069,0.0,11.1,0.0,0.133,0.067,0.0,0.615,0.684,0.184,0.186,105.8,106.26,88.55,78.0,0.109,0022400701,1610612765,Detroit,Pistons,DET,pistons,Tobias,Harris,T. Harris,tobias-harris,F,,,35:14,8,13,0.615,0,3,0.0,6,7,0.857,0,4,4,2,1,0,0,3,22,12.0,0022400701
14,0022400701,1610612765,Detroit,Pistons,DET,pistons,1631105,Jalen,Duren,J. Duren,jalen-duren,C,,,28:39,133.8,129.2,117.4,118.5,16.3,10.8,0.045,0.5,7.1,0.125,0.261,0.191,14.3,0.8,0.827,0.181,0.186,107.53,108.9,90.75,65.0,0.136,0022400701,1610612765,Detroit,Pistons,DET,pistons,Jalen,Duren,J. Duren,jalen-duren,C,,,28:39,8,10,0.8,0,0,0.0,2,2,1.0,3,6,9,1,0,2,2,2,18,7.0,0022400701
15,0022400701,1610612765,Detroit,Pistons,DET,pistons,203501,Tim,Hardaway Jr.,T. Hardaway Jr.,tim-hardaway-jr,G,,,26:58,135.9,131.3,115.1,116.4,20.8,14.9,0.143,4.0,30.8,0.083,0.0,0.043,7.7,0.357,0.444,0.127,0.131,109.9,111.25,92.71,64.0,0.02,0022400701,1610612765,Detroit,Pistons,DET,pistons,Tim,Hardaway Jr.,T. Hardaway Jr.,tim-hardaway-jr,G,,,26:58,2,7,0.286,1,4,0.25,2,2,1.0,2,0,2,4,0,0,1,3,7,13.0,0022400701
16,0022400701,1610612765,Detroit,Pistons,DET,pistons,1630595,Cade,Cunningham,C. Cunningham,cade-cunningham,G,,,38:05,134.6,131.8,123.9,122.9,10.7,8.9,0.467,4.67,31.1,0.03,0.147,0.09,6.7,0.37,0.522,0.326,0.333,104.31,105.87,88.23,85.0,0.144,0022400701,1610612765,Detroit,Pistons,DET,pistons,Cade,Cunningham,C. Cunningham,cade-cunningham,G,,,38:05,8,23,0.348,1,6,0.167,13,13,1.0,1,5,6,14,0,0,3,2,30,10.0,0022400701
17,0022400701,1610612765,Detroit,Pistons,DET,pistons,1627736,Malik,Beasley,M. Beasley,malik-beasley,,,,24:28,115.3,109.3,123.4,125.9,-8.0,-16.7,0.143,2.0,14.3,0.038,0.167,0.1,7.1,0.818,0.818,0.2,0.21,104.25,105.94,88.28,54.0,0.145,0022400701,1610612765,Detroit,Pistons,DET,pistons,Malik,Beasley,M. Beasley,malik-beasley,,,,24:28,6,11,0.545,6,10,0.6,0,0,0.0,1,4,5,2,2,0,1,4,18,-9.0,0022400701
18,0022400701,1610612765,Detroit,Pistons,DET,pistons,1630191,Isaiah,Stewart,I. Stewart,isaiah-stewart,,,,19:21,112.4,109.5,132.2,134.1,-19.8,-24.6,0.111,0.0,12.5,0.167,0.091,0.125,0.0,0.667,0.683,0.156,0.159,102.35,102.95,85.79,42.0,0.139,0022400701,1610612765,Detroit,Pistons,DET,pistons,Isaiah,Stewart,I. Stewart,isaiah-stewart,,,,19:21,4,6,0.667,0,0,0.0,2,3,0.667,3,2,5,1,0,0,0,0,10,-9.0,0022400701
19,0022400701,1610612765,Detroit,Pistons,DET,pistons,1631323,Simone,Fontecchio,S. Fontecchio,simone-fontecchio,,,,16:15,116.1,111.4,143.5,138.9,-27.4,-27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.515,0.108,0.112,101.08,104.86,87.38,35.0,0.0,0022400701,1610612765,Detroit,Pistons,DET,pistons,Simone,Fontecchio,S. Fontecchio,simone-fontecchio,,,,16:15,1,3,0.333,0,2,0.0,2,2,1.0,0,0,0,0,0,0,0,2,4,-11.0,0022400701
